"province_state","confirmed","deaths","case_fataility_ratio"
"Nevada",876118,11751,1.9199450364161588
"Washington",1883676,15038,1.0468561593992634
"Alaska",301432,1455,0.38932363125330627
"Hawaii",372198,1761,0.36638789694202556
"Wyoming",182847,1958,1.2315359215682424
"Montana",323055,3621,1.574089918987046
"Oregon",939303,8962,1.2031206399756877
"Idaho",511601,5316,1.386973788625764
"Colorado",1734782,13882,1.1182111923828788
"California",11835336,98544,0.765581625638561
"Utah",1074828,5187,0.5512751335690289
