"province_state","confirmed","deaths","case_fataility_ratio"
"Nevada",484641,8419,1.9187668255049473
"Washington",849075,9853,1.3173043806415836
"Alaska",157169,978,0.5256505107770107
"Hawaii",115642,1094,0.7480420689952083
"Wyoming",115638,1526,1.453348913325731
"Montana",197724,2906,2.039083548097176
"Oregon",421263,5655,1.5489698467555462
"Idaho",319382,4162,1.5758735411175258
"Colorado",1004704,10815,1.3520396789385978
"California",5519702,76443,1.1192842946359554
"Utah",636992,3787,0.6646368547063268
